x,y,w,h,label,code,mod
1, 81, 78, 78,"z",z,NONE
81, 81, 78, 78,"+",KEY_NUM_PLUS,NONE 
161,81, 78, 78, "-", KEY_NUM_MINUS,NONE
241, 81, 78, 78, "7", KEY_NUM_7,NONE
1, 161, 78, 78, "/", KEY_NUM_SLASH,NONE
81, 161, 78, 78, "8", KEY_NUM_8,NONE
161, 161, 78, 78, "9", KEY_NUM_9,NONE
241, 161, 78, 158, "1", KEY_NUM_1,NONE
1, 241, 78, 78, "4", KEY_NUM_4,NONE
81, 241, 78, 78, "5", KEY_NUM_5,NONE
161, 241, 78, 78, "6", KEY_NUM_6,NONE
1, 321, 78, 78, "*", KEY_NUM_0, CTRL_MOD  + ALT_MOD
81, 321, 78, 78, "2", KEY_NUM_2,NONE
161, 321, 78, 78, "*", KEY_NUM_0, CTRL_MOD
241, 321, 78, 158, "3", KEY_NUM_3,NONE
1, 401, 158, 78, "0", KEY_NUM_0,NONE
161, 401, 78, 78, ".", KEY_NUM_PERIOD,NONE
